source,target,value
"inj_homicide_knife","Fracture of foot bone",.017525
"inj_trans_road_pedal","Fracture of foot bone",5.697546
"inj_trans_road_pedest","Fracture of hand bone",4.032666
"inj_foreign_other","Fracture of hand bone",.4295254
"inj_animal_venom","Fracture of hand bone",.1274967
"inj_trans_other","Fracture of hand bone",5.791149
"inj_othunintent","Fracture of hand bone",30.99196
"inj_mech_other","Fracture of hand bone",40.2386
"inj_trans_road_2wheel","Fracture of hand bone",3.708153
"inj_trans_road_pedal","Fracture of hand bone",7.220379
"inj_homicide_gun","Fracture of hand bone",.1338913
"inj_animal_nonven","Fracture of hand bone",.2928598
"inj_trans_road_4wheel","Fracture of hand bone",12.39539
"inj_foreign_eye","Fracture of hand bone",.013332
"inj_falls","Fracture of hand bone",28.94908
"inj_poisoning","Fracture of hand bone",.0308753
"inj_mech_gun","Fracture of hand bone",1.157554
"inj_foreign_aspiration","Fracture of hand bone",.1199486
"inj_homicide_other","Fracture of hand bone",.942571
"inj_mech_suffocate","Fracture of hand bone",1.534635
"inj_homicide_knife","Fracture of hand bone",.1369813
"inj_trans_road_other","Fracture of hand bone",.514651
"inj_drowning","Fracture of hand bone",.1239518
"inj_fires","Fracture of hand bone",.83774
"inj_suicide","Fracture of hand bone",.0890632
"inj_trans_road_4wheel","Fracture of neck of femur",21.25062
"inj_animal_nonven","Fracture of neck of femur",.3285833
"inj_homicide_gun","Fracture of neck of femur",.0107559
"inj_mech_other","Fracture of neck of femur",2.36986
"inj_trans_road_pedal","Fracture of neck of femur",7.033558
"inj_mech_gun","Fracture of neck of femur",.2605962
"inj_foreign_other","Fracture of neck of femur",.6359587
"inj_suicide","Fracture of neck of femur",.1302668
"inj_trans_road_pedest","Fracture of neck of femur",10.8936
"inj_trans_road_2wheel","Fracture of neck of femur",1.418843
"inj_mech_suffocate","Fracture of neck of femur",.6598349
"inj_foreign_eye","Fracture of neck of femur",.011125
"inj_homicide_knife","Fracture of neck of femur",.0515012
"inj_fires","Fracture of neck of femur",1.641053
"inj_animal_venom","Fracture of neck of femur",.0652412
"inj_othunintent","Fracture of neck of femur",15.95804
"inj_trans_road_other","Fracture of neck of femur",1.061943
"inj_drowning","Fracture of neck of femur",.6389648
"inj_falls","Fracture of neck of femur",235.6085
"inj_homicide_other","Fracture of neck of femur",.6947303
"inj_trans_other","Fracture of neck of femur",23.79612
"inj_poisoning","Fracture of neck of femur",.04892
"inj_foreign_aspiration","Fracture of neck of femur",.471796
"inj_trans_road_2wheel","Amputation of both upper limbs",.0163842
"inj_suicide","Amputation of both upper limbs",.0634814
"inj_mech_other","Amputation of both upper limbs",.2083641
"inj_trans_road_other","Amputation of both upper limbs",.0015639
"inj_trans_road_4wheel","Amputation of both upper limbs",.0497125
"inj_trans_road_pedal","Amputation of both upper limbs",.0037276
"inj_mech_suffocate","Amputation of both upper limbs",.0000387
"inj_trans_road_pedest","Amputation of both upper limbs",.0729897
"inj_drowning","Amputation of both upper limbs",.0005708
"inj_animal_venom","Amputation of both upper limbs",.0004125
"inj_foreign_other","Amputation of both upper limbs",.0353039
"inj_othunintent","Amputation of both upper limbs",.040538
"inj_foreign_eye","Amputation of both upper limbs",.0001334
"inj_mech_gun","Amputation of both upper limbs",.0021253
"inj_foreign_aspiration","Amputation of both upper limbs",.0006124
"inj_poisoning","Amputation of both upper limbs",.0009063
"inj_animal_nonven","Amputation of both upper limbs",.0007283
"inj_fires","Amputation of both upper limbs",.0025814
"inj_homicide_gun","Amputation of both upper limbs",.0002783
"inj_homicide_knife","Amputation of both upper limbs",.0063423
"inj_homicide_other","Amputation of both upper limbs",.0009921
"inj_falls","Amputation of both upper limbs",.076948
"inj_trans_other","Amputation of both upper limbs",.051802
"inj_foreign_other","Fracture of patella, tibia, fibula, or ankle",.1285275
"inj_othunintent","Fracture of patella, tibia, fibula, or ankle",40.76426
"inj_homicide_knife","Fracture of patella, tibia, fibula, or ankle",.1481352
"inj_trans_road_pedal","Fracture of patella, tibia, fibula, or ankle",27.51097
"inj_homicide_other","Fracture of patella, tibia, fibula, or ankle",1.194686
